-6,41
-6,41.5
-6,42
-6,42.5
-6,43
-6,43.5
-6,44
-6,44.5
-6,45
-6,45.5
-6,46
-6,46.5
-6,47
-6,47.5
-6,48
-6,48.5
-6,49
-6,49.5
-6,50
-6,50.5
-6,51
-6,51.5
-6,52
-6,52.5
-6,53
-6,53.5
-6,54
-5.5,41
-5.5,41.5
-5.5,42
-5.5,42.5
-5.5,43
-5.5,43.5
-5.5,44
-5.5,44.5
-5.5,45
-5.5,45.5
-5.5,46
-5.5,46.5
-5.5,47
-5.5,47.5
-5.5,48
-5.5,48.5
-5.5,49
-5.5,49.5
-5.5,50
-5.5,50.5
-5.5,51
-5.5,51.5
-5.5,52
-5.5,52.5
-5.5,53
-5.5,53.5
-5.5,54
-5,41
-5,41.5
-5,42
-5,42.5
-5,43
-5,43.5
-5,44
-5,44.5
-5,45
-5,45.5
-5,46
-5,46.5
-5,47
-5,47.5
-5,48
-5,48.5
-5,49
-5,49.5
-5,50
-5,50.5
-5,51
-5,51.5
-5,52
-5,52.5
-5,53
-5,53.5
-5,54
-4.5,41
-4.5,41.5
-4.5,42
-4.5,42.5
-4.5,43
-4.5,43.5
-4.5,44
-4.5,44.5
-4.5,45
-4.5,45.5
-4.5,46
-4.5,46.5
-4.5,47
-4.5,47.5
-4.5,48
-4.5,48.5
-4.5,49
-4.5,49.5
-4.5,50
-4.5,50.5
-4.5,51
-4.5,51.5
-4.5,52
-4.5,52.5
-4.5,53
-4.5,53.5
-4.5,54
-4,41
-4,41.5
-4,42
-4,42.5
-4,43
-4,43.5
-4,44
-4,44.5
-4,45
-4,45.5
-4,46
-4,46.5
-4,47
-4,47.5
-4,48
-4,48.5
-4,49
-4,49.5
-4,50
-4,50.5
-4,51
-4,51.5
-4,52
-4,52.5
-4,53
-4,53.5
-4,54
-3.5,41
-3.5,41.5
-3.5,42
-3.5,42.5
-3.5,43
-3.5,43.5
-3.5,44
-3.5,44.5
-3.5,45
-3.5,45.5
-3.5,46
-3.5,46.5
-3.5,47
-3.5,47.5
-3.5,48
-3.5,48.5
-3.5,49
-3.5,49.5
